[2024-03-15 13:43:33,053: INFO: main: welocome to our custom log]
[2024-03-15 14:10:21,885: INFO: main: welocome to our custom log]
[2024-03-28 10:47:33,924: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-28 10:47:33,929: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-28 10:56:26,952: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-28 10:56:26,957: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-28 10:56:26,959: INFO: common: created directory at: artifacts]
[2024-03-28 10:56:26,962: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-28 10:56:26,964: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-28 10:56:49,384: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-28 11:22:25,733: INFO: main: welocome to our custom log]
[2024-03-28 11:38:48,741: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-28 11:38:48,744: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-28 11:38:48,745: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-28 11:38:48,746: INFO: common: created directory at: artifacts]
[2024-03-28 11:38:48,746: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-28 11:38:48,747: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-28 11:39:08,037: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-28 11:39:09,700: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
